codigo,descricao_curta,Peso,altura,largura,comprimento,preco
1,BRINCO ARGOLA ABERTA GROSSA  BANHADO A OURO 18K - AR55,,,,,"79,90"
3,BRINCO 3 FIOS LARGOS BANHADO OURO 18K - AR355,,,,,"65,90"
4,BRINCO 3 FIOS LARGOS RODIO BRANCO - AR355,,,,,"54,90"
5,BRINCO C 3 FIOS FINO BANHADO OURO 18K - BR2037,,,,,"79,90"
6,BRINCO 3 FIOS FINO RODIO BRANCO - BR2037,,,,,"75,90"
7,BRINCO ARG FRONTAL TRAB C PEDRA BANH OURO 18K - B01869,,,,,"75,90"
8,BRINCO ARG FRONTAL TRAB C PEDRA RODIO BRANCO - B01869,,,,,"72,90"
9,BRINCO ARG FRONTAL GD C ZIRC BANHADO OURO 18K - BN0512,,,,,"129,00"
10,BRINCO ARGOLA FRONTAL GD ZIRC RODIO BRANCO - BN0512,,,,,"125,00"
11,BRINCO PRESSAO C PEROLA BANH OURO 18K - BC394,,,,,"95,00"
12,BRINCO PRESSAO C PEROLA RODIO BRANCO - BC394,,,,,"89,90"
13,BRINCO ARG FRONTAL TORCIDA PEQ BANH OURO 18K - B02014,,,,,"69,90"
14,BRINCO ARG FRONTAL TORCIDA PEQ RODIO BRANCO - B02014,,,,,"65,90"
15,BRINCO CORACAO GD LISO BANH OURO 18K - TK514,,,,,"145,00"
16,BRINCP CORACAO GD LISO RODIO BRANCO - TK514,,,,,"132,90"
19,BRINCO GRANDE C PEROLAS BANH OURO 18K - BA867,,,,,"109,90"
20,BRINCO GD C PEROLAS RODIO BRANCO - BA867,,,,,"99,00"
21,BRINCO CORACAO CHEIO GD BANH OURO 18K - TK707,,,,,"109,90"
22,BRINCO CORACAO CHEIO GD RODIO BRANCO - TK707,,,,,"92,50"
23,BRINCO ARG COM CAVALO BANH OURO 18K - AR312,,,,,"79,90"
24,BRINCO ARG COM CAVALO RODIO BRANCO - AR312,,,,,"75,90"
25,BRINCO ARG ABERTA C ZIRCONIAS BANH OURO 18K - BR08674,,,,,"115,90"
26,BRINCO ARG ABERTA C ZIRCONIAS RODIO BRANCO - BR08674,,,,,"105,90"
27,BRINCO EAR CUFF PEROLAS BANH OURO 18K - 0111299,,,,,"95,00"
28,BRINCO FESTA COM PEDRARIAS BANH OURO 18K - BR6551,,,,,"95,50"
29,BRINCO FESTA COM PEDRARIAS RODIO BRANCO - BR6551,,,,,"85,90"
30,BRINCO GOTA COM ESFERA BANH OURO 18K - BRS1811,,,,,"119,90"
31,BRINCO GOTA COM ESFERA RODIO BRANCO - BRS1811,,,,,"105,90"
32,PIERCING FAKE 4 FIOS BANH OURO 18K - P2,,,,,"25,00"
33,PIERCING FAKE 4 FIOS RODIO BRANCO - P2,,,,,"21,90"
34,BRINCO MEIA ARG CRAVEJADO ZIRC RODIO BRANCO - BF014,,,,,"87,90"
35,PIERCING FAKE 2 FIOS LARGOS BANH OURO 18K - P1,,,,,"23,90"
36,PIERCING FAKE 2 FIOS LARGOS RODIO BRANCO - P1,,,,,"20,90"
37,BRINCO DE PRESSAO C ZIRCONIA BANH OURO 18K - BC842,,,,,"109,90"
38,BRINCO DE PRESSAO C ZIRCONIA RODIO BRANCO - BC842,,,,,"99,00"
39,BRINCO ARGOLA MEDIA TRABALHADA BANH OURO 18K - B01499,,,,,"59,90"
40,BRINCO ARGOLA MEDIA TRABALHADA RODIO BRANCO - B01499,,,,,"54,90"
41,PIERCING FAKE GROSSO BANH OURO 18K - P6,,,,,"27,90"
42,PIERCING FAKE GROSSO RODIO BRANCO - P6,,,,,"25,90"
43,BRINCO ARG FRONTAL PEQ C PEDRA BANH OURO 18K - B02008,,,,,"79,90"
44,BRINCO ARG FRONTAL PEQ C PEDRA RODIO BRANCO - B02008,,,,,"72,90"
45,BRINCO ARG MEDIA FOSCA LARGA BANH OURO 18K - ART120,,,,,"95,00"
46,BRINCO ARG MEDIA FOSCA LARGA RODIO BRANCO - ART120,,,,,"85,90"
47,BRINCO BLOGUEIRA  BANHADO OURO 18K - BF008,,,,,"89,90"
48,BRINCO BLOGUEIRA RODIO BRANCO - BF008,,,,,"84,90"
51,BRINCO ARGOLINHA GROSSA CLICK BANH OURO 18K - BRS154,,,,,"79,90"
52,BRINCO ARGOLINHA GROSSA CLICK RODIO BRANCO - BRS154,,,,,"69,90"
53,BRINCO ARGOLINHA C ESTRELA C ZIRC BANH OURO 18K - BRP011,,,,,"97,50"
54,BRINCO ARGOLINHA C ESTRELA C ZIRC RODIO BRANCO - BRP011,,,,,"85,90"
