"ID";"Código";"Descrição";"Unidade";"NCM";"Origem";"Preço";"Valor IPI fixo";"Observações";"Situação";"Estoque";"Preço de custo";"Cód. no fornecedor";"Fornecedor";"Localização";"Estoque máximo";"Estoque mínimo";"Peso líquido (Kg)";"Peso bruto (Kg)";"GTIN/EAN";"GTIN/EAN da Embalagem";"Largura do produto";"Altura do Produto";"Profundidade do produto";"Data Validade";"Descrição do Produto no Fornecedor";"Descrição Complementar";"Itens p/ caixa";"Produto Variação";"Tipo Produção";"Classe de enquadramento do IPI";"Código na Lista de Serviços";"Tipo do item";"Grupo de Tags/Tags";"Tributos";"Código Pai";"Código Integração";"Grupo de produtos";"Marca";"CEST";"Volumes";"Descrição Curta";"Cross-Docking";"URL Imagens Externas";"Link Externo";"Meses Garantia no Fornecedor";"Clonar dados do pai";"Condição do Produto";"Frete Grátis";"Número FCI";"Vídeo";"Departamento";"Unidade de Medida";"Preço de Compra";"Valor base ICMS ST para retenção";"Valor ICMS ST para retenção";"Valor ICMS próprio do substituto";"Categoria do produto";"Informações Adicionais"
"16577729874";"1798	";"PINGENTE PET BANHO OURO 18K - 1798";"UN";"7113.11.00";"0";"35,90";"0,00";"";"Ativo";"0,00";"7,50";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMI JOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"7,50";"0,0000";"0,0000";"0,0000";"";""
"16577391750";"1797	";"PINGENTE CRUZ PALITO MEDIO PRATA 925- PG0415NG";"UN";"7113.11.00";"0";"94,50";"0,00";"";"Ativo";"1,00";"45,90";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS ";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"45,90";"0,0000";"0,0000";"0,0000";"";""
"16577391140";"1796	";"PINGENTE CRUZ PALITO 1.9X3CM  PRATA925- PG7399NL";"UN";"7113.11.00";"0";"65,90";"0,00";"";"Ativo";"1,00";"29,50";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"29,50";"0,0000";"0,0000";"0,0000";"";""
"16577388548";"1795	";"PINGENTE MENINA GD CRAVEJADO PRATA925- PG10062EM";"UN";"7113.11.00";"0";"89,90";"0,00";"";"Ativo";"1,00";"35,90";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"35,90";"0,0000";"0,0000";"0,0000";"";""
"16577387741";"1794	";"ESCAPULARIO FE E CRUZ PRATA 925 -ES1693JL";"UN";"7113.11.00";"0";"197,50";"0,00";"";"Ativo";"1,00";"90,90";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"90,90";"0,0000";"0,0000";"0,0000";"";""
"16577387086";"1793	";"ESCAPULARIO SAO BENTO C VENEZIANA PRATA925- ESC0004RO";"UN";"7113.11.00";"0";"159,90";"0,00";"";"Ativo";"1,00";"72,90";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMI JOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"72,90";"0,0000";"0,0000";"0,0000";"";""
"16577384819";"1792	";"PINGENTE MENINA PATINS PRATA 925-PG1304AJL";"UN";"7113.11.00";"0";"52,90";"0,00";"";"Ativo";"1,00";"22,90";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"22,90";"0,0000";"0,0000";"0,0000";"";""
"16577383486";"1791	";"PINGENTE MENINO C SKATE PRATA 925 - PG1304OJL";"UN";"7113.11.00";"0";"52,90";"0,00";"";"Ativo";"1,00";"22,90";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"22,90";"0,0000";"0,0000";"0,0000";"";""
"16577381407";"1790	";"PINGENTE CANGA 3 PRATA 925 - PG1985";"UN";"7113.11.00";"0";"57,90";"0,00";"";"Ativo";"1,00";"26,90";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"26,90";"0,0000";"0,0000";"0,0000";"";""
"16574686810";"1789	";"PINGENTE CANGA 2 PRATA 925- PG1984LEO";"UN";"7113.11.00";"0";"54,90";"0,00";"";"Ativo";"1,00";"21,90";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"21,90";"0,0000";"0,0000";"0,0000";"";""
"16574682913";"1788	";"PINGENTE MENINO GD CRAVEJADO PRATA925- PG1006";"UN";"7113.11.00";"0";"89,90";"0,00";"";"Ativo";"2,00";"35,90";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"35,90";"0,0000";"0,0000";"0,0000";"";""
"16574679610";"1787	";"CORRENTE MASCULINA 60CM ELOS MEDIO PRATA925-C07/7JR";"UN";"7113.11.00";"0";"339,00";"0,00";"";"Ativo";"1,00";"167,90";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"167,90";"0,0000";"0,0000";"0,0000";"";""
"16574677207";"1786	";"CORRENTE MASCULINA 60CM PRATA 925 - C05/8CH";"UN";"7113.20.00";"0";"299,00";"0,00";"";"Ativo";"1,00";"142,90";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"142,90";"0,0000";"0,0000";"0,0000";"";""
"16574672672";"1785	";"BRACELETE CIRCULOS SOBREPOSTOS PRATA925- BRAPLR16";"UN";"7113.11.00";"0";"219,00";"0,00";"";"Ativo";"1,00";"99,90";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"99,90";"0,0000";"0,0000";"0,0000";"";""
"16574665887";"1784	";"BERLOQUE MENINO CRAVEJADO PRATA 925- BE8028EM";"UN";"7113.20.00";"0";"69,90";"0,00";"";"Ativo";"2,00";"24,90";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"24,90";"0,0000";"0,0000";"0,0000";"";""
"16574664131";"1783	";"BERLOQUE MENINA CRAVEJADA PRATA 925-BE8027EM";"UN";"7113.11.00";"0";"69,90";"0,00";"";"Ativo";"2,00";"24,90";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"24,90";"0,0000";"0,0000";"0,0000";"";""
"16570704373";"1782	";"CAIXA PRESENTE MDF - 1782";"UN";"7113.20.00";"0";"18,00";"0,00";"";"Ativo";"1,00";"8,50";"	";"HALINNE SEMI JOIAS LTDA";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Terceiros";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"HALINNE SEMIJOIAS";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"8,50";"0,0000";"0,0000";"0,0000";"";""
"16568826048";"1781	";"BOLSA GD C CORRENTE VIT - 11212";"UN";"4202.22.20";"0";"95,00";"0,00";"";"Ativo";"2,00";"27,00";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Terceiros";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"27,00";"0,0000";"0,0000";"0,0000";"";""
"16568824663";"1780	";"BOLSA MD C CORRENTE VIT - 11211";"UN";"4202.22.20";"0";"69,90";"0,00";"";"Ativo";"1,00";"21,00";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Terceiros";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"21,00";"0,0000";"0,0000";"0,0000";"";""
"16568822590";"1779	";"BOLSA PP C CORRENTE VITORIA - 11210";"UN";"4202.22.20";"0";"49,90";"0,00";"";"Ativo";"2,00";"21,00";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Terceiros";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"21,00";"0,0000";"0,0000";"0,0000";"";""
"16568812630";"1778	";"BOLSA CLUTCH RET FESTA - 8461";"UN";"4202.22.20";"0";"54,90";"0,00";"";"Ativo";"9,00";"22,50";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Terceiros";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"22,50";"0,0000";"0,0000";"0,0000";"";""
"16568125574";"1777	";"BOLSA LATERAL LUXO C ALCA C PEDRARIAS B AZUL- P233";"UN";"4202.22.20";"0";"195,00";"0,00";"";"Ativo";"2,00";"93,75";"	";"SAO PAULO";"	";"0,00";"1,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Terceiros";"";"";"Mercadoria para Revenda";"";"0,00";"";"0";"";"SAO PAULO";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"93,75";"0,0000";"0,0000";"0,0000";"";""
